# timestamp, confidence,diameter,time from start
1.43E+09,1.00E+00,7.75E+01,0.00
1.43E+09,1.00E+00,7.74E+01,0.02
1.43E+09,1.00E+00,7.73E+01,0.05
1.43E+09,1.00E+00,7.71E+01,0.09
1.43E+09,1.00E+00,7.70E+01,0.13
1.43E+09,1.00E+00,7.67E+01,0.16
1.43E+09,6.06E-01,8.44E+01,0.20
1.43E+09,0.00E+00,,0.24
1.43E+09,7.32E-01,7.65E+01,0.28
1.43E+09,1.00E+00,7.31E+01,0.30
1.43E+09,1.00E+00,7.35E+01,0.34
1.43E+09,1.00E+00,7.36E+01,0.37
1.43E+09,1.00E+00,7.36E+01,0.39
1.43E+09,1.00E+00,7.32E+01,0.42
1.43E+09,1.00E+00,7.29E+01,0.46
1.43E+09,1.00E+00,7.28E+01,0.50
1.43E+09,1.00E+00,7.26E+01,0.52
1.43E+09,1.00E+00,7.23E+01,0.56
1.43E+09,1.00E+00,7.22E+01,0.59
1.43E+09,1.00E+00,7.21E+01,0.63
1.43E+09,1.00E+00,7.16E+01,0.66
1.43E+09,1.00E+00,7.15E+01,0.69
1.43E+09,1.00E+00,7.13E+01,0.72
1.43E+09,1.00E+00,7.11E+01,0.77
1.43E+09,1.00E+00,7.10E+01,0.80
1.43E+09,1.00E+00,7.09E+01,0.84
1.43E+09,1.00E+00,7.07E+01,0.86
1.43E+09,1.00E+00,7.08E+01,0.89
1.43E+09,1.00E+00,7.09E+01,0.91
1.43E+09,1.00E+00,7.10E+01,0.95
1.43E+09,1.00E+00,7.12E+01,1.01
1.43E+09,1.00E+00,7.15E+01,1.03
1.43E+09,1.00E+00,7.18E+01,1.06
1.43E+09,1.00E+00,7.20E+01,1.09
1.43E+09,1.00E+00,7.23E+01,1.12
1.43E+09,1.00E+00,7.26E+01,1.16
1.43E+09,1.00E+00,7.29E+01,1.18
1.43E+09,1.00E+00,7.31E+01,1.21
1.43E+09,1.00E+00,7.36E+01,1.26
1.43E+09,1.00E+00,7.47E+01,1.29
1.43E+09,1.00E+00,7.50E+01,1.32
1.43E+09,1.00E+00,7.54E+01,1.35
1.43E+09,1.00E+00,7.58E+01,1.41
1.43E+09,1.00E+00,7.62E+01,1.44
1.43E+09,1.00E+00,7.64E+01,1.47
1.43E+09,1.00E+00,7.71E+01,1.49
1.43E+09,1.00E+00,7.73E+01,1.54
1.43E+09,1.00E+00,7.74E+01,1.56
1.43E+09,1.00E+00,7.75E+01,1.61
1.43E+09,1.00E+00,7.73E+01,1.64
1.43E+09,1.00E+00,7.73E+01,1.67
1.43E+09,1.00E+00,7.70E+01,1.71
1.43E+09,1.00E+00,7.66E+01,1.75
1.43E+09,1.00E+00,7.62E+01,1.78
1.43E+09,1.00E+00,7.59E+01,1.81
1.43E+09,0.00E+00,,1.87
1.43E+09,0.00E+00,,1.89
1.43E+09,0.00E+00,,1.92
1.43E+09,6.34E-01,7.46E+01,1.95
1.43E+09,7.61E-01,7.03E+01,1.98
1.43E+09,1.00E+00,7.08E+01,2.02
1.43E+09,1.00E+00,7.13E+01,2.05
1.43E+09,1.00E+00,7.14E+01,2.08
1.43E+09,1.00E+00,7.12E+01,2.12
1.43E+09,1.00E+00,7.11E+01,2.14
1.43E+09,1.00E+00,7.09E+01,2.17
1.43E+09,1.00E+00,7.09E+01,2.21
1.43E+09,1.00E+00,7.07E+01,2.24
1.43E+09,1.00E+00,7.06E+01,2.28
1.43E+09,1.00E+00,7.05E+01,2.31
1.43E+09,1.00E+00,7.07E+01,2.35
1.43E+09,1.00E+00,7.06E+01,2.37
1.43E+09,1.00E+00,7.04E+01,2.41
1.43E+09,1.00E+00,7.03E+01,2.45
1.43E+09,1.00E+00,7.02E+01,2.48
1.43E+09,1.00E+00,6.99E+01,2.51
1.43E+09,1.00E+00,6.98E+01,2.54
1.43E+09,1.00E+00,6.96E+01,2.58
1.43E+09,1.00E+00,6.97E+01,2.61
1.43E+09,1.00E+00,6.96E+01,2.63
1.43E+09,1.00E+00,6.96E+01,2.71
1.43E+09,8.44E-01,6.96E+01,2.74
1.43E+09,1.00E+00,6.96E+01,2.76
1.43E+09,1.00E+00,6.99E+01,2.80
1.43E+09,1.00E+00,6.98E+01,2.83
1.43E+09,1.00E+00,6.99E+01,2.87
1.43E+09,1.00E+00,6.97E+01,2.91
1.43E+09,1.00E+00,6.97E+01,2.93
1.43E+09,1.00E+00,6.98E+01,2.96
1.43E+09,1.00E+00,6.98E+01,2.99
1.43E+09,1.00E+00,6.98E+01,3.03
1.43E+09,1.00E+00,7.00E+01,3.07
1.43E+09,1.00E+00,6.99E+01,3.09
1.43E+09,1.00E+00,6.99E+01,3.14
1.43E+09,1.00E+00,6.97E+01,3.16
1.43E+09,1.00E+00,6.93E+01,3.19
1.43E+09,1.00E+00,6.92E+01,3.24
1.43E+09,1.00E+00,6.90E+01,3.26
1.43E+09,1.00E+00,6.89E+01,3.29
1.43E+09,1.00E+00,6.89E+01,3.33
1.43E+09,1.00E+00,6.87E+01,3.36
1.43E+09,1.00E+00,6.87E+01,3.40
1.43E+09,1.00E+00,6.87E+01,3.44
1.43E+09,1.00E+00,6.88E+01,3.46
1.43E+09,1.00E+00,6.88E+01,3.49
1.43E+09,0.00E+00,,3.53
1.43E+09,0.00E+00,,3.56
1.43E+09,0.00E+00,,3.61
1.43E+09,7.19E-01,6.80E+01,3.63
1.43E+09,8.06E-01,6.50E+01,3.67
1.43E+09,8.59E-01,6.65E+01,3.70
1.43E+09,1.00E+00,6.77E+01,3.73
1.43E+09,1.00E+00,6.82E+01,3.76
1.43E+09,1.00E+00,6.85E+01,3.80
1.43E+09,1.00E+00,6.86E+01,3.83
1.43E+09,1.00E+00,6.87E+01,3.86
1.43E+09,1.00E+00,6.87E+01,3.90
1.43E+09,1.00E+00,6.88E+01,3.94
1.43E+09,1.00E+00,6.87E+01,3.98
1.43E+09,1.00E+00,6.87E+01,4.00
1.43E+09,1.00E+00,6.88E+01,4.02
1.43E+09,1.00E+00,6.87E+01,4.06
1.43E+09,1.00E+00,6.83E+01,4.09
