# timestamp, confidence, diameter,time from start,diam conf 75,ticks
1429308532.73,0.96,90.99,0.00,90.99,
1429308532.76,1.00,91.07,0.04,91.07,
1429308532.80,1.00,91.05,0.07,91.05,
1429308532.83,1.00,91.09,0.10,91.09,
1429308532.85,1.00,90.75,0.13,90.75,
1429308532.89,0.98,90.19,0.16,90.19,
1429308532.92,1.00,89.90,0.19,89.90,
1429308532.96,0.98,95.01,0.23,95.01,
1429308532.99,0.89,96.26,0.26,96.26,
1429308533.03,0.92,96.37,0.30,96.37,
1429308533.05,0.91,96.60,0.32,96.60,
1429308533.09,0.93,96.38,0.36,96.38,
1429308533.12,0.89,96.00,0.39,96.00,
1429308533.16,0.90,95.72,0.43,95.72,
1429308533.18,0.88,95.79,0.46,95.79,
1429308533.22,0.88,95.29,0.49,95.29,
1429308533.25,0.87,94.80,0.52,94.80,
1429308533.29,0.92,94.70,0.56,94.70,
1429308533.33,0.90,94.64,0.60,94.64,
1429308533.35,1.00,88.21,0.63,88.21,
1429308533.39,0.91,88.18,0.66,88.18,
1429308533.42,0.97,87.79,0.70,87.79,
1429308533.46,0.96,85.17,0.73,85.17,
1429308533.49,0.00,0.00,0.76,,
1429308533.52,0.86,87.67,0.80,87.67,
1429308533.55,1.00,87.72,0.83,87.72,
1429308533.58,0.91,87.99,0.85,87.99,
1429308533.62,0.92,87.66,0.89,87.66,
1429308533.65,0.96,87.57,0.92,87.57,
1429308533.68,0.98,87.75,0.95,87.75,
1429308533.71,1.00,88.01,0.99,88.01,
1429308533.75,1.00,87.98,1.02,87.98,
1429308533.78,1.00,88.35,1.06,88.35,
1429308533.82,1.00,88.37,1.09,88.37,
1429308533.85,1.00,88.45,1.12,88.45,
1429308533.88,1.00,88.32,1.15,88.32,
1429308533.91,1.00,88.27,1.18,88.27,
1429308533.94,1.00,88.24,1.22,88.24,
1429308533.98,1.00,87.99,1.25,87.99,
1429308534.01,1.00,87.72,1.29,87.72,
1429308534.05,1.00,87.37,1.32,87.37,
1429308534.08,1.00,87.34,1.36,87.34,
1429308534.11,1.00,87.17,1.39,87.17,
1429308534.15,1.00,86.84,1.42,86.84,
1429308534.17,1.00,86.91,1.44,86.91,
1429308534.25,1.00,86.75,1.52,86.75,
1429308534.28,1.00,86.68,1.55,86.68,
1429308534.32,1.00,86.89,1.59,86.89,
1429308534.34,1.00,86.47,1.61,86.47,
