# timestamp, confidence, diameter,time from start
1.43E+09,1.00E+00,5.59E+01,0.00E+00
1.43E+09,1.00E+00,5.59E+01,8.98E-02
1.43E+09,1.00E+00,5.61E+01,1.26E-01
1.43E+09,1.00E+00,5.65E+01,1.71E-01
1.43E+09,1.00E+00,5.65E+01,2.16E-01
1.43E+09,1.00E+00,5.64E+01,2.90E-01
1.43E+09,1.00E+00,5.65E+01,3.26E-01
1.43E+09,1.00E+00,5.71E+01,3.64E-01
1.43E+09,9.80E-01,5.74E+01,4.12E-01
1.43E+09,1.00E+00,5.76E+01,4.47E-01
1.43E+09,1.00E+00,5.77E+01,4.80E-01
1.43E+09,1.00E+00,5.76E+01,5.25E-01
1.43E+09,1.00E+00,5.76E+01,5.86E-01
1.43E+09,1.00E+00,5.73E+01,6.14E-01
1.43E+09,1.00E+00,5.73E+01,6.63E-01
1.43E+09,1.00E+00,5.75E+01,7.05E-01
1.43E+09,1.00E+00,5.72E+01,7.43E-01
1.43E+09,1.00E+00,5.69E+01,7.85E-01
1.43E+09,1.00E+00,5.70E+01,8.25E-01
1.43E+09,1.00E+00,5.72E+01,8.66E-01
1.43E+09,1.00E+00,5.72E+01,9.06E-01
1.43E+09,1.00E+00,5.74E+01,9.44E-01
1.43E+09,1.00E+00,5.73E+01,9.80E-01
1.43E+09,1.00E+00,5.75E+01,1.03E+00
1.43E+09,1.00E+00,5.76E+01,1.07E+00
1.43E+09,1.00E+00,5.76E+01,1.11E+00
1.43E+09,1.00E+00,5.77E+01,1.14E+00
1.43E+09,1.00E+00,5.78E+01,1.18E+00
1.43E+09,1.00E+00,5.80E+01,1.23E+00
1.43E+09,1.00E+00,5.79E+01,1.27E+00
1.43E+09,1.00E+00,5.79E+01,1.34E+00
1.43E+09,1.00E+00,5.76E+01,1.39E+00
1.43E+09,1.00E+00,5.75E+01,1.44E+00
1.43E+09,1.00E+00,5.72E+01,1.47E+00
1.43E+09,1.00E+00,5.67E+01,1.52E+00
1.43E+09,1.00E+00,5.64E+01,1.56E+00
1.43E+09,1.00E+00,5.60E+01,1.60E+00
1.43E+09,1.00E+00,5.57E+01,1.64E+00
1.43E+09,1.00E+00,5.55E+01,1.69E+00
1.43E+09,1.00E+00,5.53E+01,1.72E+00
1.43E+09,1.00E+00,5.52E+01,1.75E+00
1.43E+09,1.00E+00,5.52E+01,1.78E+00
1.43E+09,1.00E+00,5.52E+01,1.81E+00
1.43E+09,1.00E+00,5.50E+01,1.85E+00
1.43E+09,1.00E+00,5.49E+01,1.90E+00
1.43E+09,1.00E+00,5.48E+01,1.95E+00
1.43E+09,1.00E+00,5.48E+01,1.97E+00
1.43E+09,1.00E+00,5.50E+01,2.02E+00
1.43E+09,1.00E+00,5.47E+01,2.07E+00
1.43E+09,1.00E+00,5.50E+01,2.10E+00
1.43E+09,1.00E+00,5.51E+01,2.14E+00
1.43E+09,1.00E+00,5.53E+01,2.18E+00
1.43E+09,1.00E+00,5.54E+01,2.21E+00
1.43E+09,1.00E+00,5.57E+01,2.26E+00
1.43E+09,1.00E+00,5.59E+01,2.30E+00
1.43E+09,1.00E+00,5.61E+01,2.33E+00
1.43E+09,1.00E+00,5.61E+01,2.38E+00
1.43E+09,1.00E+00,5.61E+01,2.42E+00
1.43E+09,1.00E+00,5.59E+01,2.49E+00
1.43E+09,1.00E+00,5.57E+01,2.52E+00
1.43E+09,1.00E+00,5.57E+01,2.55E+00
1.43E+09,1.00E+00,5.57E+01,2.60E+00
1.43E+09,1.00E+00,5.56E+01,2.64E+00
1.43E+09,1.00E+00,5.53E+01,2.68E+00
1.43E+09,1.00E+00,5.53E+01,2.72E+00
1.43E+09,1.00E+00,5.52E+01,2.76E+00
1.43E+09,1.00E+00,5.48E+01,2.82E+00
1.43E+09,1.00E+00,5.45E+01,2.86E+00
1.43E+09,1.00E+00,5.43E+01,2.90E+00
1.43E+09,1.00E+00,5.43E+01,2.94E+00
1.43E+09,1.00E+00,5.43E+01,2.99E+00
1.43E+09,1.00E+00,5.39E+01,3.03E+00
1.43E+09,1.00E+00,5.38E+01,3.07E+00
1.43E+09,1.00E+00,5.38E+01,3.12E+00
1.43E+09,1.00E+00,5.39E+01,3.17E+00
1.43E+09,1.00E+00,5.41E+01,3.23E+00
1.43E+09,1.00E+00,5.43E+01,3.27E+00
1.43E+09,1.00E+00,5.45E+01,3.32E+00
1.43E+09,1.00E+00,5.45E+01,3.36E+00
1.43E+09,1.00E+00,5.46E+01,3.41E+00
1.43E+09,1.00E+00,5.44E+01,3.44E+00
1.43E+09,1.00E+00,5.42E+01,3.49E+00
1.43E+09,1.00E+00,5.40E+01,3.52E+00
