# timestamp, confidence, diameter
1.43E+09,1.00E+00,8.10E+01
1.43E+09,1.00E+00,8.10E+01
1.43E+09,1.00E+00,8.08E+01
1.43E+09,9.97E-01,8.07E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.01E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.01E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,7.96E+01
1.43E+09,1.00E+00,7.98E+01
1.43E+09,1.00E+00,7.96E+01
1.43E+09,8.73E-01,7.95E+01
1.43E+09,9.20E-01,7.92E+01
1.43E+09,1.00E+00,7.89E+01
1.43E+09,1.00E+00,7.84E+01
1.43E+09,1.00E+00,7.82E+01
1.43E+09,1.00E+00,7.80E+01
1.43E+09,1.00E+00,7.78E+01
1.43E+09,1.00E+00,7.89E+01
1.43E+09,1.00E+00,7.77E+01
1.43E+09,9.42E-01,7.79E+01
1.43E+09,1.00E+00,7.81E+01
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,7.47E-01,8.07E+01
1.43E+09,1.00E+00,7.94E+01
1.43E+09,1.00E+00,7.97E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.06E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.09E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,7.98E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,9.70E-01,7.88E+01
1.43E+09,8.22E-01,7.91E+01
1.43E+09,1.00E+00,7.92E+01
1.43E+09,1.00E+00,7.96E+01
1.43E+09,1.00E+00,7.93E+01
1.43E+09,1.00E+00,7.91E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,9.45E-01,8.00E+01
1.43E+09,8.86E-01,7.99E+01
1.43E+09,1.00E+00,7.93E+01
1.43E+09,1.00E+00,7.91E+01
1.43E+09,1.00E+00,7.91E+01
1.43E+09,1.00E+00,7.91E+01
1.43E+09,1.00E+00,7.91E+01
1.43E+09,1.00E+00,7.93E+01
1.43E+09,1.00E+00,7.93E+01
1.43E+09,1.00E+00,7.95E+01
1.43E+09,1.00E+00,7.97E+01
1.43E+09,1.00E+00,7.99E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.04E+01
1.43E+09,1.00E+00,8.06E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.10E+01
1.43E+09,1.00E+00,8.11E+01
1.43E+09,1.00E+00,8.14E+01
1.43E+09,1.00E+00,8.14E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.16E+01
1.43E+09,1.00E+00,8.19E+01
1.43E+09,1.00E+00,8.21E+01
1.43E+09,1.00E+00,8.21E+01
1.43E+09,1.00E+00,8.21E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.22E+01
1.43E+09,1.00E+00,8.22E+01
1.43E+09,1.00E+00,8.22E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.21E+01
1.43E+09,1.00E+00,8.17E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.16E+01
1.43E+09,1.00E+00,8.14E+01
1.43E+09,1.00E+00,8.13E+01
1.43E+09,1.00E+00,8.12E+01
1.43E+09,1.00E+00,8.13E+01
1.43E+09,1.00E+00,8.13E+01
1.43E+09,1.00E+00,8.16E+01
1.43E+09,1.00E+00,8.15E+01
1.43E+09,1.00E+00,8.20E+01
1.43E+09,1.00E+00,8.25E+01
1.43E+09,1.00E+00,8.26E+01
1.43E+09,1.00E+00,8.30E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.33E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.27E+01
1.43E+09,1.00E+00,8.24E+01
1.43E+09,1.00E+00,8.25E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.17E+01
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,7.74E-01,8.16E+01
1.43E+09,1.00E+00,8.26E+01
1.43E+09,1.00E+00,8.31E+01
1.43E+09,1.00E+00,8.30E+01
1.43E+09,1.00E+00,8.30E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.37E+01
1.43E+09,9.67E-01,8.40E+01
1.43E+09,1.00E+00,8.42E+01
1.43E+09,1.00E+00,8.45E+01
1.43E+09,1.00E+00,8.45E+01
1.43E+09,1.00E+00,8.42E+01
1.43E+09,1.00E+00,8.40E+01
1.43E+09,1.00E+00,8.37E+01
1.43E+09,1.00E+00,8.36E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.29E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.22E+01
1.43E+09,1.00E+00,8.19E+01
1.43E+09,1.00E+00,8.17E+01
1.43E+09,1.00E+00,8.12E+01
1.43E+09,1.00E+00,8.10E+01
1.43E+09,1.00E+00,8.08E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,1.00E+00,8.02E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.06E+01
1.43E+09,1.00E+00,8.08E+01
1.43E+09,1.00E+00,8.10E+01
1.43E+09,1.00E+00,8.14E+01
1.43E+09,1.00E+00,8.15E+01
1.43E+09,1.00E+00,8.17E+01
1.43E+09,1.00E+00,8.19E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.24E+01
1.43E+09,1.00E+00,8.27E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.30E+01
1.43E+09,1.00E+00,8.33E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.33E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.35E+01
1.43E+09,1.00E+00,8.36E+01
1.43E+09,1.00E+00,8.38E+01
1.43E+09,1.00E+00,8.38E+01
1.43E+09,1.00E+00,8.40E+01
1.43E+09,1.00E+00,8.41E+01
1.43E+09,1.00E+00,8.42E+01
1.43E+09,1.00E+00,8.44E+01
1.43E+09,1.00E+00,8.44E+01
1.43E+09,1.00E+00,8.42E+01
1.43E+09,1.00E+00,8.40E+01
1.43E+09,1.00E+00,8.39E+01
1.43E+09,1.00E+00,8.35E+01
1.43E+09,1.00E+00,8.31E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.26E+01
1.43E+09,1.00E+00,8.20E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.19E+01
1.43E+09,1.00E+00,8.17E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.20E+01
1.43E+09,1.00E+00,8.20E+01
1.43E+09,1.00E+00,8.21E+01
1.43E+09,1.00E+00,8.23E+01
1.43E+09,1.00E+00,8.24E+01
1.43E+09,1.00E+00,8.28E+01
1.43E+09,1.00E+00,8.31E+01
1.43E+09,1.00E+00,8.33E+01
1.43E+09,1.00E+00,8.35E+01
1.43E+09,1.00E+00,8.40E+01
1.43E+09,1.00E+00,8.42E+01
1.43E+09,1.00E+00,8.43E+01
1.43E+09,1.00E+00,8.47E+01
1.43E+09,1.00E+00,8.46E+01
1.43E+09,1.00E+00,8.47E+01
1.43E+09,1.00E+00,8.49E+01
1.43E+09,1.00E+00,8.47E+01
1.43E+09,1.00E+00,8.49E+01
1.43E+09,1.00E+00,8.49E+01
1.43E+09,1.00E+00,8.48E+01
1.43E+09,1.00E+00,8.48E+01
1.43E+09,1.00E+00,8.50E+01
1.43E+09,1.00E+00,8.51E+01
1.43E+09,1.00E+00,8.55E+01
1.43E+09,1.00E+00,8.56E+01
1.43E+09,1.00E+00,8.57E+01
1.43E+09,1.00E+00,8.62E+01
1.43E+09,1.00E+00,8.65E+01
1.43E+09,1.00E+00,8.65E+01
1.43E+09,1.00E+00,8.65E+01
1.43E+09,1.00E+00,8.68E+01
1.43E+09,1.00E+00,8.72E+01
1.43E+09,1.00E+00,8.72E+01
1.43E+09,1.00E+00,8.73E+01
1.43E+09,1.00E+00,8.74E+01
1.43E+09,1.00E+00,8.73E+01
1.43E+09,8.13E-01,8.76E+01
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,0.00E+00,0.00E+00
1.43E+09,7.72E-01,8.83E+01
1.43E+09,1.00E+00,8.68E+01
1.43E+09,9.74E-01,8.71E+01
1.43E+09,9.93E-01,8.68E+01
1.43E+09,9.56E-01,8.64E+01
1.43E+09,1.00E+00,8.64E+01
1.43E+09,1.00E+00,8.66E+01
1.43E+09,1.00E+00,8.66E+01
1.43E+09,1.00E+00,8.65E+01
1.43E+09,1.00E+00,8.61E+01
1.43E+09,9.47E-01,8.68E+01
1.43E+09,1.00E+00,8.49E+01
1.43E+09,1.00E+00,8.49E+01
1.43E+09,1.00E+00,8.40E+01
1.43E+09,9.33E-01,8.34E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.32E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.34E+01
1.43E+09,1.00E+00,8.31E+01
1.43E+09,1.00E+00,8.29E+01
1.43E+09,9.97E-01,8.24E+01
1.43E+09,1.00E+00,8.18E+01
1.43E+09,1.00E+00,8.15E+01
1.43E+09,1.00E+00,8.09E+01
1.43E+09,9.49E-01,8.05E+01
1.43E+09,1.00E+00,8.03E+01
1.43E+09,1.00E+00,8.01E+01
1.43E+09,1.00E+00,8.00E+01
1.43E+09,8.84E-01,8.01E+01
1.43E+09,1.00E+00,8.05E+01
1.43E+09,1.00E+00,8.07E+01
1.43E+09,1.00E+00,8.09E+01
1.43E+09,1.00E+00,8.10E+01
